team,player,position,roster_status
SWEEP THE LEG JOHNNY,Matthew Stafford,QB,Starter
SWEEP THE LEG JOHNNY,Ja'Marr Chase,WR,Starter
SWEEP THE LEG JOHNNY,Jerry Jeudy,WR,Starter
SWEEP THE LEG JOHNNY,Kenneth Gainwell,RB,Starter
SWEEP THE LEG JOHNNY,Jacory Croskey-Merritt,RB,Starter
SWEEP THE LEG JOHNNY,Kyle Pitts Sr.,TE,Starter
SWEEP THE LEG JOHNNY,Terry McLaurin,WR,Starter
SWEEP THE LEG JOHNNY,Josh Downs,WR,Starter
SWEEP THE LEG JOHNNY,Shedeur Sanders,QB,Starter
SWEEP THE LEG JOHNNY,Andy Borregales,K,Starter
SWEEP THE LEG JOHNNY,Eagles,DEF,Starter
SWEEP THE LEG JOHNNY,Alvin Kamara,RB,Bench
SWEEP THE LEG JOHNNY,Quinn Ewers,QB,Bench
SWEEP THE LEG JOHNNY,Ricky Pearsall,WR,Bench
SWEEP THE LEG JOHNNY,Christian Kirk,WR,Bench
SWEEP THE LEG JOHNNY,Emari Demercado,RB,Bench
SWEEP THE LEG JOHNNY,Sam LaPorta,TE,IR
Losers Get Lucky,Lamar Jackson,QB,Starter
Losers Get Lucky,Jaylen Waddle,WR,Starter
Losers Get Lucky,Chris Godwin Jr.,WR,Starter
Losers Get Lucky,D'Andre Swift,RB,Starter
Losers Get Lucky,Woody Marks,RB,Starter
Losers Get Lucky,Jake Ferguson,TE,Starter
Losers Get Lucky,Ladd McConkey,WR,Starter
Losers Get Lucky,Stefon Diggs,WR,Starter
Losers Get Lucky,Sam Darnold,QB,Starter
Losers Get Lucky,Harrison Butker,K,Starter
Losers Get Lucky,Bears,DEF,Starter
Losers Get Lucky,Daniel Jones,QB,Bench
Losers Get Lucky,Oronde Gadsden,TE,Bench
Losers Get Lucky,Cedric Tillman,WR,Bench
Losers Get Lucky,Kareem Hunt,RB,Bench
WWF,Baker Mayfield,QB,Starter
WWF,Jakobi Meyers,WR,Starter
WWF,Chimere Dike,WR,Starter
WWF,Derrick Henry,RB,Starter
WWF,Tony Pollard,RB,Starter
WWF,Brenton Strange,TE,Starter
WWF,DK Metcalf,WR,Starter
WWF,Omarion Hampton,RB,Starter
WWF,Justin Herbert,QB,Starter
WWF,Brandon Aubrey,K,Starter
WWF,Vikings,DEF,Starter
WWF,Romeo Doubs,WR,Bench
WWF,Geno Smith,QB,Bench
WWF,Tyler Allgeier,RB,Bench
WWF,Cade Otton,TE,Bench
WWF,Jarquez Hunter,RB,Bench
Lucky Charlie,Jordan Love,QB,Starter
Lucky Charlie,Tetairoa McMillan,WR,Starter
Lucky Charlie,Amon-Ra St. Brown,WR,Starter
Lucky Charlie,Javonte Williams,RB,Starter
Lucky Charlie,Josh Jacobs,RB,Starter
Lucky Charlie,Evan Engram,TE,Starter
Lucky Charlie,Jaylen Warren,RB,Starter
Lucky Charlie,Davante Adams,WR,Starter
Lucky Charlie,Aaron Rodgers,QB,Starter
Lucky Charlie,Eddy Pineiro,K,Starter
Lucky Charlie,49ers,DEF,Starter
Lucky Charlie,Jordan Addison,WR,Bench
Lucky Charlie,DJ Moore,WR,Bench
Lucky Charlie,Tyjae Spears,RB,Bench
Lucky Charlie,Jayden Reed,WR,Bench
Lucky Charlie,Zach Ertz,TE,IR
Lucky Charlie,Ray Davis,RB,Bench
Lucky Charlie,Ravens,DEF,Bench
Lucky Charlie,David Njoku,TE,IR
Friday Night Tights,Joe Burrow,QB,Starter
Friday Night Tights,Puka Nacua,WR,Starter
Friday Night Tights,Jalen Coker,WR,Starter
Friday Night Tights,Kenneth Walker III,RB,Starter
Friday Night Tights,Saquon Barkley,RB,Starter
Friday Night Tights,Colston Loveland,TE,Starter
Friday Night Tights,Courtland Sutton,WR,Starter
Friday Night Tights,Darnell Mooney,WR,Starter
Friday Night Tights,C.J. Stroud,QB,Starter
Friday Night Tights,Evan McPherson,K,Starter
Friday Night Tights,Jaguars,DEF,Starter
Friday Night Tights,Cooper Kupp,WR,Bench
Friday Night Tights,Isiah Pacheco,RB,Bench
Friday Night Tights,Davis Mills,QB,Bench
Friday Night Tights,Bam Knight,RB,Bench
